year,position,draft_pct_lg,draft_pct_team,team,cap_pct_team,cap_pct_lg
2013,DB,0.004287628912816319,0.11651234567901235,Bengals,0.164,0.005125
2013,DB,0.0024476398164554086,0.07242480255419258,Packers,0.144,0.0045
2013,DB,0.010716232792694562,0.2813478455345162,Jets,0.126,0.0039375
2013,DB,0.006400208986415883,0.1780129521402622,Bills,0.132,0.004125
2013,DB,0.0028565262823133887,0.1020698051948052,Seahawks,0.086,0.0026875
2013,DB,0.004088864658579801,0.16017797552836485,Broncos,0.166,0.0051875
2013,DB,0.00609922311571487,0.17992963645501758,Steelers,0.22,0.006875
2013,DB,0.007831311616918813,0.2593080105302745,Cowboys,0.136,0.00425
2013,DB,0.00271455181500159,0.09835390946502058,Chargers,0.133,0.00415625
2013,DB,0.008245877061469266,0.26730486008836524,Ravens,0.11900000000000001,0.0037187500000000003
2013,DB,0.002941710962700468,0.07644628099173553,Chiefs,0.187,0.00584375
2013,DB,0.00443528235882059,0.1233612383509714,Eagles,0.09000000000000001,0.0028125000000000003
2013,DB,0.004849847803371042,0.12782517587187547,Cardinals,0.105,0.00328125
2013,DB,0.00540070873654082,0.16997319034852548,Texans,0.191,0.00596875
2013,DB,0.007070328472127572,0.3223718280683584,Browns,0.1,0.003125
2013,DB,0.01763322884012539,0.44811661134362823,Jaguars,0.042,0.0013125
2013,DB,0.010699195856617147,0.26043682609897706,Dolphins,0.14300000000000002,0.0044687500000000005
2013,DB,0.007405388214983417,0.2080740386149673,Rams,0.171,0.00534375
2013,DB,0.006723910771886784,0.18491332188036858,Lions,0.09,0.0028125
2013,DB,0.009887101903593657,0.27722929936305735,Raiders,0.108,0.003375
2013,DB,0.009245377311344328,0.40217391304347827,Saints,0.171,0.00534375
2013,DB,0.009841670074053881,0.25192615205698504,49ers,0.175,0.00546875
2013,DB,0.0025782563263822634,0.0939569536423841,Giants,0.194,0.0060625
2013,DB,0.007774521829994094,0.21984904448370002,Vikings,0.075,0.00234375
2013,DB,0.01092067602562355,0.5073878627968338,Commanders,0.107,0.00334375
2013,DB,0.015838671573304257,0.6182664597650188,Falcons,0.133,0.00415625
2013,DB,0.001908136840670574,0.08452830188679246,Colts,0.179,0.00559375
2013,DB,0.00837649357139612,0.32424708727192786,Patriots,0.115,0.00359375
2013,DB,0.007740447957839262,0.21941403734707018,Titans,0.15,0.0046875
2013,DB,0.0,0.0,Panthers,0.079,0.00246875
2013,DB,0.006212802689564308,0.2769620253164557,Buccaneers,0.2315,0.007234375
2013,DB,0.0,0.0,Bears,0.145,0.00453125
2013,DL,0.005610830948162283,0.15246913580246912,Bengals,0.2975,0.009296875
2013,DL,0.009966607605288265,0.2949084187531507,Packers,0.21,0.0065625
2013,DL,0.009654263777202307,0.2534665275085731,Jets,0.079,0.00246875
2013,DL,0.0,0.0,Bills,0.228,0.007125
2013,DL,0.00968833764935714,0.34618506493506496,Seahawks,0.243,0.00759375
2013,DL,0.010136976966062423,0.3971078976640712,Broncos,0.112,0.0035
2013,DL,0.001476534460042706,0.0435583849891104,Steelers,0.1995,0.006234375
2013,DL,0.0,0.0,Cowboys,0.20900000000000002,0.006531250000000001
2013,DL,0.0021069010949070917,0.07633744855967078,Chargers,0.164,0.005125
2013,DL,0.008802416973331516,0.2853460972017673,Ravens,0.2805,0.008765625
2013,DL,0.00169233565035664,0.04397874852420307,Chiefs,0.225,0.00703125
2013,DL,0.007831311616918813,0.2178170905070289,Eagles,0.10750000000000001,0.0033593750000000004
2013,DL,0.0036970151287992366,0.09744050291872475,Cardinals,0.1995,0.006234375
2013,DL,0.008910317568488483,0.2804289544235925,Texans,0.155,0.00484375
2013,DL,0.001556040161737313,0.0709476954945624,Browns,0.24,0.0075
2013,DL,0.0,0.0,Jaguars,0.094,0.0029375
2013,DL,0.013873744945708963,0.3377108100635886,Dolphins,0.218,0.0068125
2013,DL,0.0,0.0,Rams,0.192,0.006
2013,DL,0.015390032256598974,0.42323910666874903,Lions,0.184,0.00575
2013,DL,0.0030666484939348504,0.08598726114649682,Raiders,0.057999999999999996,0.0018124999999999999
2013,DL,0.006400208986415883,0.2784090909090909,Saints,0.157,0.00490625
2013,DL,0.013061650992685477,0.3343509230992877,49ers,0.1465,0.004578125
2013,DL,0.010227840625141975,0.37272350993377484,Giants,0.1345,0.004203125
2013,DL,0.009410067693426016,0.2660992452224185,Vikings,0.277,0.00865625
2013,DL,0.002396529008223161,0.11134564643799472,Commanders,0.202,0.0063125
2013,DL,0.005656262777702058,0.22079361560629573,Falcons,0.148,0.004625
2013,DL,0.010721911771387035,0.4749685534591195,Colts,0.216,0.00675
2013,DL,0.0014367816091954023,0.055616619037151024,Patriots,0.1715,0.005359375
2013,DL,0.0027770205806187816,0.07871860914359305,Titans,0.11699999999999999,0.0036562499999999998
2013,DL,0.01558879651083549,0.6531049250535332,Panthers,0.1345,0.004203125
2013,DL,0.0095747580755077,0.4268354430379747,Buccaneers,0.13949999999999999,0.0043593749999999995
2013,DL,0.0,0.0,Bears,0.2245,0.007015625
2013,K,0.0,0.0,Bengals,0.012,0.000375
2013,K,0.0,0.0,Packers,0.018000000000000002,0.0005625000000000001
2013,K,0.0,0.0,Jets,0.005,0.00015625
2013,K,0.0021409749670619235,0.059548254620123205,Bills,0.007,0.00021875
2013,K,0.0,0.0,Seahawks,0.005,0.00015625
2013,K,0.0,0.0,Broncos,0.024,0.00075
2013,K,0.0,0.0,Steelers,0.013999999999999999,0.00043749999999999995
2013,K,0.0,0.0,Cowboys,0.005,0.00015625
